,id,movieID,movie,release_date,release_month,release_year,season,production_budget,domestic_gross,worldwide_gross,ROI,inflation_ratio,PB_AI,DG_AI,runtime_minutes,genres,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
36,45,tt3748528,Rogue One: A Star Wars Story,2016-12-16,12,2016,Winter,200000000,532177324,1049102856,2.66088662,1.3,260000000.0,691830521.2,133.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,46,tt2277860,Finding Dory,2016-06-17,6,2016,Summer,200000000,486295561,1021215193,2.431477805,1.3,260000000.0,632184229.3000001,97.0,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,47,tt0435761,Toy Story 3,2010-06-18,6,2010,Summer,200000000,415004880,1068879522,2.0750244,1.42,284000000.0,589306929.6,103.0,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,48,tt1300854,Iron Man 3,2013-05-03,5,2013,Spring,200000000,408992272,1215392272,2.04496136,1.34,268000000.00000003,548049644.48,130.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,51,tt1014759,Alice in Wonderland,2010-03-05,3,2010,Spring,200000000,334191110,1025491110,1.67095555,1.42,284000000.0,474551376.2,108.0,"Adventure,Family,Fantasy",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,51,tt2049386,Alice in Wonderland,2010-03-05,3,2010,Spring,200000000,334191110,1025491110,1.67095555,1.42,284000000.0,474551376.2,99.0,"Fantasy,Musical",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,52,tt1074638,Skyfall,2012-11-08,11,2012,Fall,200000000,304360277,1110526981,1.521801385,1.36,272000000.0,413929976.72,143.0,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,53,tt1453405,Monsters University,2013-06-21,6,2013,Summer,200000000,268488329,743588329,1.342441645,1.34,268000000.00000003,359774360.86,104.0,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,54,tt1623205,Oz the Great and Powerful,2013-03-08,3,2013,Spring,200000000,234770996,490359051,1.17385498,1.34,268000000.00000003,314593134.64000005,130.0,"Adventure,Family,Fantasy",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,55,tt1877832,X-Men: Days of Future Past,2014-05-23,5,2014,Spring,200000000,233921534,747862775,1.16960767,1.32,264000000.0,308776424.88,132.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,56,tt1872181,The Amazing Spider-Man 2,2014-05-02,5,2014,Spring,200000000,202853933,708996336,1.014269665,1.32,264000000.0,267767191.56,142.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,57,tt1216475,Cars 2,2011-06-24,6,2011,Summer,200000000,191450875,560155383,0.957254375,1.4,280000000.0,268031224.99999997,106.0,"Adventure,Animation,Comedy",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,60,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,11,2018,Fall,200000000,159555901,652220086,0.797779505,1.24,248000000.0,197849317.24,134.0,"Adventure,Family,Fantasy",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,62,tt1133985,Green Lantern,2011-06-17,6,2011,Summer,200000000,116601172,219535492,0.58300586,1.4,280000000.0,163241640.79999998,114.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,64,tt1399103,Transformers: Dark of the Moon,2011-06-29,6,2011,Summer,195000000,352390543,1123790543,1.8071309897435897,1.4,273000000.0,493346760.2,154.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,65,tt2345759,The Mummy,2017-06-09,6,2017,Summer,195000000,80101125,409953905,0.410775,1.27,247650000.0,101728428.75,110.0,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,66,tt1351685,Jack the Giant Slayer,2013-03-01,3,2013,Spring,195000000,65187603,197687603,0.3342954,1.34,261300000.00000003,87351388.02000001,114.0,"Adventure,Fantasy",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,67,tt2820852,Furious 7,2015-04-03,4,2015,Spring,190000000,353007020,1518722794,1.8579316842105262,1.32,250800000.0,465969266.40000004,137.0,"Action,Crime,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
